"LRT Stop Number","LRT Stop Description","Latitude","Longitude","Location","Geometry Point"
"1516","Churchill Stop","53.54347099998","-113.48937600024","(53.54347099998313, -113.48937600024414)","POINT (-113.48937600024414 53.54347099998313)"
"2162","Holyrood Stop","53.52804500004","-113.45753400058","(53.5280450000396, -113.45753400058122)","POINT (-113.45753400058122 53.5280450000396)"
"22993","Muttart Stop","53.53627100044","-113.47993100047","(53.5362710004444, -113.47993100047424)","POINT (-113.47993100047424 53.5362710004444)"
"20142","Health Sciences Jubilee Station","53.51993499979","-113.52592299945","(53.51993499979266, -113.52592299945226)","POINT (-113.52592299945226 53.51993499979266)"
"21152","South Campus Ft Edmonton Station","53.50228299986","-113.5284979994","(53.502282999864654, -113.52849799940002)","POINT (-113.52849799940002 53.502282999864654)"
"11142","Kingsway RAH Station","53.55748699993","-113.50068400024","(53.557486999930816, -113.50068400023693)","POINT (-113.50068400023693 53.557486999930816)"
"21151","South Campus Ft Edmonton Station","53.50293999969","-113.52841400061","(53.502939999690376, -113.52841400061047)","POINT (-113.52841400061047 53.502939999690376)"
"99811","McKernan Belgravia Station","53.51344499973","-113.5261629998","(53.51344499972584, -113.5261629997993)","POINT (-113.5261629997993 53.51344499972584)"
"3606","Grey Nuns Stop","53.46302000022","-113.43465300019","(53.46302000021926, -113.43465300018562)","POINT (-113.43465300018562 53.46302000021926)"
"3875","Millbourne Woodvale Stop","53.47531600005","-113.43895899957","(53.4753160000467, -113.43895899957096)","POINT (-113.43895899957096 53.4753160000467)"
"19262","Corona Station","53.54097699976","-113.50535800069","(53.54097699975875, -113.50535800069186)","POINT (-113.50535800069186 53.54097699975875)"
"49821","Century Park Station","53.45780499999","-113.51630299956","(53.45780499999169, -113.51630299955886)","POINT (-113.51630299955886 53.45780499999169)"
"2877","Davies Station","53.49962099964","-113.44390699952","(53.49962099963864, -113.44390699951511)","POINT (-113.44390699951511 53.49962099963864)"
"22990","Strathearn Stop","53.53168999979","-113.46246200027","(53.53168999978526, -113.46246200026941)","POINT (-113.46246200026941 53.53168999978526)"
"79772","Clareview Station","53.60159200027","-113.41181899969","(53.60159200026841, -113.41181899968991)","POINT (-113.41181899968991 53.60159200026841)"
"18761","Churchill Station","53.54442000005","-113.48904500024","(53.544420000053684, -113.48904500024311)","POINT (-113.48904500024311 53.544420000053684)"
"19811","Stadium Station","53.56012600006","-113.47046000039","(53.560126000058794, -113.47046000038726)","POINT (-113.47046000038726 53.560126000058794)"
"78301","Belvedere Station","53.58834899968","-113.43279999957","(53.58834899968461, -113.43279999956972)","POINT (-113.43279999956972 53.58834899968461)"
"1513","102 Street Stop","53.54316","-113.4941380002","(53.543159999998444, -113.49413800019893)","POINT (-113.49413800019893 53.543159999998444)"
"19251","Government Station","53.536573","-113.51022400059","(53.53657300000059, -113.51022400059358)","POINT (-113.51022400059358 53.53657300000059)"
"1515","Churchill Stop","53.54346399999","-113.49013299982","(53.5434639999909, -113.49013299982286)","POINT (-113.49013299982286 53.5434639999909)"
"20141","Health Sciences Jubilee Station","53.52038799984","-113.52581799938","(53.52038799984137, -113.52581799937964)","POINT (-113.52581799937964 53.52038799984137)"
"2717","Avonmore Stop","53.5103629998","-113.45508599987","(53.51036299979529, -113.45508599986613)","POINT (-113.45508599986613 53.51036299979529)"
"19261","Corona Station","53.54092099974","-113.50460899954","(53.540920999744884, -113.50460899953707)","POINT (-113.50460899953707 53.540920999744884)"
"79771","Clareview Station","53.60182000039","-113.41125000061","(53.60182000039132, -113.4112500006051)","POINT (-113.4112500006051 53.60182000039132)"
"19851","Bay Enterprise Square Station","53.54090999981","-113.49798500022","(53.54090999981269, -113.4979850002221)","POINT (-113.4979850002221 53.54090999981269)"
"1514","102 Street Stop","53.54319199976","-113.49520999932","(53.54319199976193, -113.49520999931818)","POINT (-113.49520999931818 53.54319199976193)"
"19252","Government Station","53.5358850004","-113.51032699928","(53.53588500040125, -113.510326999277)","POINT (-113.510326999277 53.53588500040125)"
