category,facility_type,facility_name,address,latitude,longitude,website
Sports and Recreation Facilities,Staffed Sports Field,Coronation Park,135 Street & 112 Avenue,53.56182170681,-113.55687301957,https://www.edmonton.ca/activities_parks_recreation/coronation-park
Parks and Playgrounds,City Park,Jackie Parker Park,4540 50 Street,53.48371400747,-113.42039817429,https://www.edmonton.ca/jackieparkerpark
Sports and Recreation Facilities,Recreation Centre,ACT Aquatic and Recreation Centre,2909 113 Avenue,53.55621256387,-113.3867699889,https://www.edmonton.ca/act/
Parks and Playgrounds,River Valley Park,Queen Elizabeth Park,10380 Queen Elizabeth Park Road,53.52456738521,-113.49823495715,https://www.edmonton.ca/queenelizabethpark
Sports and Recreation Facilities,Recreation Centre,Confederation Leisure Centre,11204 43 Avenue,53.48048716641,-113.52022650149,https://www.edmonton.ca/confederation/
Sports and Recreation Facilities,Recreation Centre,Jasper Place Leisure Centre,9200 163 Street,53.5267601235,-113.60371028444,https://www.edmonton.ca/jasperplace/
Sports and Recreation Facilities,Tennis Court,Glengarry Tennis Court,133 Avenue & 89 Street,53.6025611875,-113.47296306655,https://www.edmonton.ca/tenniscourts
Sports and Recreation Facilities,Golf Course,Riverside Golf Course,8630 Rowland Road,53.54962171174,-113.46511314366,https://www.edmonton.ca/riversidegolf
Sports and Recreation Facilities,Arena,Confederation Arena,11204 43 Avenue,53.47959328001,-113.52024795929,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Arena,Russ Barnes Arena,6725 121 Avenue,53.5750661858,-113.44607891512,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Arena,Crestwood Arena,9940 147 Street,53.53870249124,-113.5754506458,https://www.edmonton.ca/arenas
Sports and Recreation Facilities,Tennis Court,Strathcona Tennis Court,72 Avenue & 104 Street,53.50851621167,-113.49768640133,https://www.edmonton.ca/tenniscourts
Sports and Recreation Facilities,Recreation Centre,O'Leary Fitness and Leisure Centre,8804 132 Avenue,53.59295389648,-113.47652712861,https://www.edmonton.ca/oleary/
Sports and Recreation Facilities,Arena,Bill Hunter Arena,9200 163 Street,53.52714916308,-113.60376392861,https://www.edmonton.ca/arenas
