year,epsb_id,school_name,school_type,grades,latitude,longitude,sector,epsb_ward
2021,484.0,amiskwaciy Academy,JS,Gr 7-12,53.5709675753,-113.523203322,Central,EPSB WARD C
2021,17.0,Centre High,SR,Gr 10-12,53.5433282282,-113.498600209,Central,EPSB WARD D
2021,701.0,Glenrose Hospital,SP,K to Gr 12,53.5593544281,-113.496063946,Central,EPSB WARD C
2021,161.0,Prince Charles,EL,K to Gr 6,53.5785796604,-113.540160401,Central,EPSB WARD C
2021,325.0,Transitions at the Y,SP,Gr 9-12,53.5708493247,-113.498538918,Central,EPSB WARD C
2021,909.0,Millwoods Christian,EJS,K to Gr 12,53.4753701646,-113.462300518,Southeast 1,EPSB WARD G
2021,906.0,Edm Christian NE,EJ,K to Gr 9,53.6203292882,-113.431817218,North,EPSB WARD B
2021,184.0,Glengarry,EL,K to Gr 6,53.596233245,-113.484073399,North,EPSB WARD A
2021,706.0,Institut Serv Schs,SP,Gr 4-12,53.648810127,-113.538618493,North,EPSB WARD A
2021,722.0,L. S. at Northgate,SP,Gr 10-12,53.5979129376,-113.488854173,North,EPSB WARD A
2021,729.0,Rosecrest,SP,K to Gr 12,53.5940980307,-113.496007244,North,EPSB WARD A
2021,707.0,Aspen Program,SP,Gr 2-12,53.5569002932,-113.586747528,Northwest,EPSB WARD C
2021,905.0,Edm Christian High,SR,Gr 10-12,53.5546591481,-113.568288161,Northwest,EPSB WARD C
2021,904.0,Edm Christian West,EJ,K to Gr 9,53.5555729827,-113.568830788,Northwest,EPSB WARD C
2021,204.0,Elmwood,EL,K to Gr 6,53.5163428888,-113.604686955,Northwest,EPSB WARD E
2021,770.0,L. S. at West Edm,SP,Gr 10-12,53.5325150531,-113.603813614,Northwest,EPSB WARD E
2021,931.0,Meadowlark Christian,EJ,K to Gr 9,53.5367088059,-113.593334143,Northwest,EPSB WARD E
2021,211.0,Rio Terrace,EL,K to Gr 6,53.5086953268,-113.586209764,Northwest,EPSB WARD E
2021,553.0,Stratford,EJ,K to Gr 9,53.5200338552,-113.584736958,Northwest,EPSB WARD E
2021,730.0,AB School for Deaf,EJS,Gr 1-12,53.4997272558,-113.524291742,South Central,EPSB WARD F
2021,18.0,Academy King Edward,EJS,Gr 2-12,53.5215255993,-113.490516929,South Central,EPSB WARD F
2021,349.0,Argyll Centre,SP,K to Gr 12,53.5397222576,-113.434494524,South Central,EPSB WARD D
2021,704.0,Braemar,SP,Gr 8-12,53.531468157,-113.430770478,South Central,EPSB WARD G
2021,386.0,L. S. on Whyte,SP,Gr 10-12,53.5177418582,-113.489335288,South Central,EPSB WARD G
2021,702.0,L. Y. Cairns,SP,Gr 7-12,53.4837158683,-113.500794446,South Central,EPSB WARD F
2021,50.0,Vimy Ridge Academy,JS,Gr 7-12,53.5240952736,-113.452703708,South Central,EPSB WARD G
2021,186.0,Malmo,EL,K to Gr 6,53.4852233274,-113.52919974,South Central,EPSB WARD F
2021,90.0,Metro Continuing Ed.,SP,,0.0,0.0,South Central,EPSB WARD G
2021,150.0,Mill Creek,EL,K to Gr 6,53.5154333966,-113.481283697,South Central,EPSB WARD G
2021,152.0,Mount Pleasant,EL,K to Gr 6,53.4958957632,-113.503936467,South Central,EPSB WARD F
2021,66.0,Old Scona,SR,Gr 10-12,53.519775373,-113.501975651,South Central,EPSB WARD F
2021,164.0,Queen Alexandra,EL,K to Gr 6,53.5138131992,-113.504582698,South Central,EPSB WARD F
2021,772.0,Tevie Miller Hrtg Sc,SP,K to Gr 6,53.498957085,-113.524332263,South Central,EPSB WARD F
2021,0.0,Ellerslie Campus South,EL,K to Gr 6,0.0,0.0,Southeast 2,EPSB WARD I
2021,724.0,L. S. at Blue Quill,SP,Gr 10-12,53.4600712169,-113.530716904,Southwest 1,EPSB WARD F
2021,231.0,Talmud Torah,EJ,K to Gr 6,53.4997678517,-113.621802102,West,EPSB WARD E
2021,805.0,Aleda Patterson,EL,K to 3,-113.60829387,53.5274879622,Northwest,EPSB WARD E
2021,243.0,Sweet Grass,EL,K to Gr 6,53.4633361162,-113.527802347,Southwest 1,EPSB WARD F
2021,250.0,Greenview,EL,K to Gr 6,53.4738410399,-113.427931112,Southeast 1,EPSB WARD G
2021,132.0,Hazeldean,EL,K to Gr 6,53.5042548389,-113.478813399,South Central,EPSB WARD G
2021,53.0,Ross Sheppard,SR,Gr 10-12,53.5597020515,-113.558080329,Northwest,EPSB WARD C
2021,177.0,Virginia Park,EL,K to Gr 6,53.5604062257,-113.448182511,Central,EPSB WARD D
2021,189.0,Waverley,EL,K to Gr 6,53.5239296305,-113.433532533,South Central,EPSB WARD G
2021,149.0,Mee-Yah-Noh,EL,K to Gr 6,53.5872307334,-113.48426759,North,EPSB WARD A
2021,123.0,Forest Heights,EL,K to Gr 6,53.5447247894,-113.453352405,South Central,EPSB WARD D
2021,803.0,Dr. Anne Anderson,SR,Gr 10-12,-113.541633467,53.4027099411,Southwest 2,EPSB WARD H
2021,63.0,M.E. LaZerte,SR,Gr 10-12,53.6057513439,-113.444063339,North,EPSB WARD B
2021,801.0,Soraya Hafez,EL,K to Gr 6,53.63310258,-113.4356418,North,EPSB WARD B
2021,527.0,Oliver,EJ,K to Gr 9,53.5438199765,-113.524624103,Central,EPSB WARD D
2021,251.0,Sakaw,EL,K to Gr 6,53.440765536,-113.427854493,Southeast 1,EPSB WARD I
2021,75.0,J. Percy Page,SR,Gr 10-12,53.4564047605,-113.446756578,Southeast 1,EPSB WARD I
2021,185.0,Lendrum,EL,K to Gr 6,53.4909053813,-113.522218104,South Central,EPSB WARD F
2021,552.0,Hillcrest,JR,Gr 7-9,53.5143277189,-113.604368104,Northwest,EPSB WARD E
2021,109.0,Belvedere,EL,K to Gr 6,53.5949474619,-113.436015123,North,EPSB WARD B
2021,220.0,Grace Martin,EL,K to Gr 6,53.4692542925,-113.456664076,Southeast 1,EPSB WARD G
2021,57.0,W. P. Wagner,SR,Gr 10-12,53.4999469056,-113.449851412,South Central,EPSB WARD G
2021,565.0,Ellerslie Campus,EJ,K to Gr 9,53.4280102932,-113.44176218,Southeast 2,EPSB WARD I
2021,281.0,Michael A. Kostek,EL,K to Gr 6,53.4896017516,-113.650641213,West,EPSB WARD E
2021,226.0,Brander Gardens,EL,K to Gr 6,53.4934298721,-113.576920765,Southwest 1,EPSB WARD F
2021,233.0,Ekota,EL,K to Gr 6,53.4491125932,-113.440865808,Southeast 1,EPSB WARD I
2021,563.0,Dan Knott,JR,Gr 7-9,53.4455509369,-113.454843643,Southeast 1,EPSB WARD I
2021,503.0,Crestwood,EJ,K to Gr 9,53.5351027489,-113.570689243,Northwest,EPSB WARD E
2021,127.0,Gold Bar,EL,K to Gr 6,53.549409481,-113.413385103,South Central,EPSB WARD D
2021,170.0,Rutherford,EL,K to Gr 6,53.5222920111,-113.469135694,South Central,EPSB WARD D
2021,3.0,Jackson Heights,EL,K to Gr 6,53.4833581364,-113.408834621,Southeast 1,EPSB WARD G
2021,200.0,McLeod,EL,K to Gr 6,53.6108540816,-113.431244064,North,EPSB WARD B
2021,458.0,A. Blair McPherson,EJ,K to Gr 9,53.4696415893,-113.361819679,Southeast 1,EPSB WARD G
2021,273.0,Fraser,EL,K to Gr 6,53.6118067367,-113.372731587,Northeast,EPSB WARD B
2021,936.0,Nellie Carlson,EJ,K to Gr 9,53.4421454977,-113.557149692,Southwest 1,EPSB WARD H
2021,538.0,Riverbend,JR,Gr 7-9,53.4910368268,-113.577501997,Southwest 1,EPSB WARD F
2021,176.0,Patricia Heights,EL,K to Gr 6,53.5110087424,-113.60271079,Northwest,EPSB WARD E
2021,210.0,Meadowlark,EL,K to Gr 6,53.5262922326,-113.595128276,Northwest,EPSB WARD E
2021,930.0,David Thomas King,EJ,K to Gr 9,53.5364594681,-113.706833505,Northwest,EPSB WARD C
